ano;causa_acidente;acidentes;mortos
2024;QUEDA;18938;621
2024;ATROPELAMENTO COM ANIMAIS;9407;311
2020;CAPOTAMENTO;13328;996
2023;COLISAO LATERAL;102006;824
2023;COLISAO TRANSVERSAL;38473;612
2018;CAPOTAMENTO;8961;970
2022;COLISAO TRASEIRA;94951;960
2025;ENGAVETAMENTO;6380;7
2025;QUEDA;16416;507
2025;ATROPELAMENTO COM ANIMAIS;9007;272
2026;COLISAO TRASEIRA;6359;12
2019;CHOQUE;121917;2306
2019;TOMBAMENTO;13587;783
2019;DESCONHECIDO;205196;2942
